id,name,house,house_link,description,added_date,added_by
44,An Autumn Wandering,Alkemia,,"Black currant, damson plum, maplewood, charred rosemary, verbena, pumpkin, Madagascar vanilla, Tonka",2022-04-24 13:48:45,1
45,Anael,Deconstructing Eden,,"His blend is cool dark earth, oak, tender green leaves, tree moss, juniper berries, ivy, herbs and of course, a drop of green apple accord.",2022-04-24 13:48:45,1
46,Anathema,Black Phoenix Alchemy Lab,,"A scent as heavy as thunder from the Vatican, with notes that inspire every sin and excess. Black opium, with vetivert and honeysuckle.",2022-04-24 13:48:45,1
47,And Dream of Sheep,18,,"Blue Lavender, French Lavender, Wild Berries, Orchid accord and eNVie saphir",2022-04-24 13:48:45,1
48,And How!,18,,"Lavender Crème, Marshmallow Crème, Kashmir Red Musk, Vanilla essence, African Vanilla Bean and French Lavender",2022-04-24 13:48:45,1
49,Angelcorn,Smelly Yeti,,"Broody Guy (Sweet, delicious cake with buttercream frosting.) + Unicorn Collector (Bubbly and bright tangerine strawberries nestled in creamy tahitian vanilla and tonka bean.)",2022-04-24 13:48:45,1
50,Anne Bonny,Black Phoenix Alchemy Lab,,"Wicked, cruel, beautiful, intelligent, resourceful and dangerous: a true role model. A blend of Indonesian red patchouli, red sandalwood, and frankincense.",2022-04-24 13:48:45,1
51,Ant & Coffee Tiramisu,Death and Floral,,"Hipster Coffee-shop coffee with oakmoss, green fir, fresh juniper berries, on a bed of rich blackened cake. Iced with vanilla coffee tiramisu icing.",2022-04-24 13:48:45,1
52,Anteros,Black Phoenix Alchemy Lab,,"His scent pierces the heart with glimmering shards of rapture and the sweet ache of passion: throbbing red musk and shimmering chypre with saffron, sweet patchouli, Italian bergamot, red currant, and vanilla bean.",2022-04-24 13:48:45,1
53,Antique Lace,Black Phoenix Alchemy Lab,,"Nostalgia encapsulated. A soft, wistful blend of dry flowers, aged linens, and the faint breath of long-faded perfumes.",2022-04-24 13:48:45,1
54,Antique Lace (2017),Black Phoenix Alchemy Lab,,"Nostalgia encapsulated. A soft, wistful blend of dry flowers, aged linens, and the faint breath of long-faded perfumes.",2022-04-24 13:48:45,1
55,Antony,Black Phoenix Alchemy Lab,,"The embodiment of Classic masculinity. A warrior's scent: the green hills and grasses of the battlefields, the resinous incense from the prayers to his Gods, and a touch of the musky leather of his armor. Ambergris and frankincense with sage, and basil.",2022-04-24 13:48:45,1
56,"Aoede, Melete, Mneme",Black Phoenix Alchemy Lab,,"Sugared cream, vanilla husk, white sandalwood, and flecks of caramel.",2022-04-24 13:48:45,1
57,Aoi Si,Fyrinnae,,"Just out of the oven, the scent of homemade carrot cake made from garden-fresh carrots fills the house. Low sugar and only mild spices, no icing yet. Perfect for sharing with unseen guests.",2022-04-24 13:48:45,1
58,Aphrodesia,Alkemia,,"An intoxicating blend of deep eastern spices warmed with creamy Bourbon vanilla, amber, and a few drops of golden aged frankincense.",2022-04-24 13:48:45,1
59,Apparition,Hexennacht,,"Spectral amber, alabaster vanilla, bone-white woods",2022-04-24 13:48:45,1
60,Apple Butter Rum,Black Phoenix Alchemy Lab,,"Spiced rum with cinnamon, apple butter, nutmeg, and thick vanilla cream.",2022-04-24 13:48:45,1
61,Apple Cider & Spice,Andromeda's Curse,,"Apple, Clove, Cinnamon, and Chai",2022-04-24 13:48:45,1
62,Apple Craves Cake,Arcana,,"Fresh, crisp red apples blended with our Yellow Cake layering note.",2022-04-24 13:48:45,1
63,Apple I,Black Phoenix Alchemy Lab,,"Apple with hay absolute, oats, honey, cream vanilla, and goat's milk accord.",2022-04-24 13:48:45,1
64,Apple Milk,Haus of Gloi,,"Apple pulp, hot milk and cardamom.",2022-04-24 13:48:45,1
65,Apricot Kobalt,NAVA,,"African Apricot, Apricot Cream, Vanilla Cream & Egyptian Vanilla Resin (Studio Limited Original - Kobalt)",2022-04-24 13:48:45,1
66,Apsara,Fantôme,,"Sweet, balsamic, resinous. Juicy black figs, hibiscus nectar, smooth patchouli, iris, resinuous woods, aged frankincense, benzoin, and spices. Not vegan",2022-04-24 13:48:45,1
67,Aquila,Sixteen92,,"Juniper, chilled white tea, mountain laurel, soft cotton, airy musks",2022-04-24 13:48:45,1
68,Arashiyama,Fantôme,,"Fresh, musky, and atmospheric. Rain-drenched bamboo, fresh aomikan slices, Japanese pear, cherry blossom, sandalwood, ginger, white tea, and faded perfume musk.",2022-04-24 13:48:45,1
69,Arcanum Experiment 2020 #17,Alkemia,,"Rain musk, green tea, lemon verbena, red clover",2022-04-24 13:48:45,1
70,Arcanum Experiment 2020 #22,Alkemia,,"Strawberries, blueberries, blackberries, peaches, honey, summer roses, ginger aldehydes",2022-04-24 13:48:45,1
71,Arcanum Experiments 2019 #2,Alkemia,,"Mahogany, Spices, Oakmoss, Honey amber",2022-04-24 13:48:45,1
72,Arcanum Experiments 2019 #3,Alkemia,,"Carnation, violet, guaic wood, bay rum",2022-04-24 13:48:45,1
73,Arcanum Experiments 2019 #4,Alkemia,,"Cotton candy, Sugar musk, Sugar cookies with strawberry icing",2022-04-24 13:48:45,1
74,Arcanum Experiments 2019 #7,Alkemia,,"Macarons, vanilla incense, dark amber",2022-04-24 13:48:45,1
75,Arcanum Experiments 2020 #10,Alkemia,,"Pomegranate, quince, black raspberries, sweet muscadine wine",2022-04-24 13:48:45,1
76,Arcanum Experiments 2020 #26,Alkemia,,A pineapple juice and lemon verbena tea ice lolly popsicle,2022-04-24 13:48:45,1
77,Arcanum Experiments 2020 #28,Alkemia,,"Fresh mangoes, juicy kiwis, guava, and berries",2022-04-24 13:48:45,1
78,Arctic Foxes Having Cake,Fyrinnae,,"Airy angel food cake with a messy crust, just out of the oven with the barest background of various sweet kitchen scents. No spice.",2022-04-24 13:48:45,1
79,Arcturus,Possets,,"Arc to Arcturus is a common saying in the astrological world. In this case Arcturus is a blend of the blackest of all vanillas in a swirl in dead space. It's a beautiful dark foodie blend which is a true hybrid between the wearable vanillas and those which you just wish to put your tongue on.. In Madagascar, two Mexican vanilla, and a dry and almost earthy Tahitian vanilla blend together to make a superb concoction for seductiontensely sophisticated and very up to date.",2022-04-24 13:48:45,1
80,Aretha,Alpha Musk,,"juicy peaches and fluffy marshmallow, night blooming water lilies, ripe magnolia, Queen bee musk, rose gold amber, goddess musk",2022-04-24 13:48:45,1
81,Ari by Ariana Grande,WhistleNotes,,"Ariana Grande Ari Dupe. The luscious and sexy fragrance opens with the mouthwatering freshness of Crispy Pear, Pink Grapefruit and sparkling Juicy Raspberry. The ultra-feminine heart blossoms with a plush bouquet of Soft Muguet and Rose Buds in a velvety bloom of creamy Vanilla Orchid. The sexy fragrance is a sophisticated blend of Creamy Musk and Blonde Woods and an addictive touch of Marshmallow",2022-04-24 13:48:45,1
82,Aristocratic Couple,Black Phoenix Alchemy Lab,,"Bourbon vanilla, preserved apricot, and cardamom.",2022-04-24 13:48:45,1
83,Arsenic,Hexennacht,,"Chai, pumpkin puree, buttercream, vanilla cookies, powdered sugar.",2022-04-24 13:48:45,1
84,Asp Viper,Black Phoenix Alchemy Lab,,"Snake Oil with King mandarin, myrrh, and almond.",2022-04-24 13:48:45,1
85,Atelier,Strange Fire & Fumery,,"Atelier invokes wide, clean floors, lofty ceilings and lofty ideas. Using pensive elderflower and bright plumeria, it clears an inviting creative space within. A great floral scent for people who don't like floral scents.",2022-04-24 13:48:45,1
86,Athena,Sugar and Spite,,"Dark vanilla, patchouli, pepper, ivy, sea spray.",2022-04-24 13:48:45,1
87,Attic,Solstice Scents,,"Vanilla, Red Cedar Heartwood EO, Cypress Wood EO, Sandalwood EO, Dried Rose Petals. Alcohol based extrait.",2022-04-24 13:48:45,1
88,Au Lait,Alkemia,,"A cozy, ultra-cuddly blend of rich, creamy milk swirled with tonka, wild honey, and a touch of caramelized brown sugar.",2022-04-24 13:48:45,1
89,August Afternoon Delight Alchemy,Alkemia,,"A leisurely summer afternoon filled with melty orange dreamsicles, soft green grass, and little puffy clouds of vanilla musk.",2022-04-24 13:48:45,1
90,Aurea,Laurel + June,,"Skin musk, sandalwood, coconut, forget me nots, sakura blossoms and vanilla",2022-04-24 13:48:45,1
91,Aurelia,Moonalisa,,"Delicious ripe raspberries top this lovely, raspberry jam filled, white wedding cake, doused with vanilla cream, topped with dried red rose petals, and with a hint of Sandalwood ambered musk.",2022-04-24 13:48:45,1
92,Aureus,Black Phoenix Alchemy Lab,,"True, perfect golden light, refined into an incomparably glorious scent.",2022-04-24 13:48:45,1
93,Australian Copperhead,Black Phoenix Alchemy Lab,,"Snake Oil with acai berry, amber, cardamom, white sandalwood, neroli, and smoked vanilla",2022-04-24 13:48:45,1
94,Autumn Fields,Alkemia,,"Crisp green pumpkin flesh, fresh Kadota fig, amaranth, cut orchardgrass, and oat hay.",2022-04-24 13:48:45,1
95,Azathoth,Black Phoenix Alchemy Lab,,"Azathoth is the blind, idiot god who sits on a black throne at the center of Chaos. His scent is high-pitched and screeching, both impenetrably dark and searingly bright with the clarity of madness: tangerine, saffron, vetiver, black amber and cedarwood.",2022-04-24 13:48:45,1
96,Baba Yaga,Black Phoenix Alchemy Lab,,"Spell-soaked herbs and flowers, cold iron, broom twigs, bundles of moss and patchouli root, and moth dust.",2022-04-24 13:48:45,1
97,Baba Yaga,Fantôme,,"Black and red musk, a smoldering cauldron, cracked bone, cardamom, hanging animal skins, burning mugwort.",2022-04-24 13:48:45,1
98,Babette Ate Oatmeal,Little Book Eater,,Fresh Oats Golden Honey & Vanilla Bean,2022-04-24 13:48:45,1
99,Babooshka,Hexennacht,,"Slow-baked sweet gourds, Russian tea cookies, pipe tobacco, Autumnal spice accord, caramel, nutmeg, honey, coumarin, beeswax absolute, cardamom sugar, crushed apples, black pepper, liatrix absolute.",2022-04-24 13:48:45,1
100,Baby Dino Pineapple Peach Sorbet,18,,"Pineapple accord, Pineapple rind, Peach, Vanilla Bean, Coconut Rind, Bastet's Musk and Crystalline Absolute",2022-04-24 13:48:45,1
101,Baby's First Ballista,Black Phoenix Alchemy Lab,,"Roma Invicta, or something: oakwood, vanilla bean, and sugar cookies.",2022-04-24 13:48:45,1
102,Baccarat Mews,Hex,,"(Maison Francis Kurkdjian Baccarat Rouge 540 type) - Citrus, jasmine, saffron, sage, ambergris, oakmoss, cedar.",2022-04-24 13:48:45,1
103,Balsam Fir & Cedar,Sixteen92,,Single note.,2022-04-24 13:48:45,1
104,Baltic Amber,Hexennacht,,"Thick rivulets of golden amber, pinus succinifera, cedarwood, jammy fir absolute, oakmoss absolute, tree moss, verdant musk, cardamom, balsam, lightning-scorched ancient boughs.",2022-04-24 13:48:45,1
105,Banana Milk,Hexennacht,,"sweet milk, melted ice cream, vanilla pudding mix, banana.",2022-04-24 13:48:45,1
106,Bananawood,"Lou Lou's Soaps, Scrubs, & Scents",,"Bananawood is a blend of ripe bananas, caramel, cinnamon, vanilla bean, and sandalwood.",2022-04-24 13:48:45,1
107,Banshee,Possets,,"A cry out to Mother Ireland. Grain, oatmeal to be precise rich and carby (but gluten free) deep and golden. Covered over with three honeys from various parts of the world (Anatolian, American Sage, and Maltese), a touch of cream and a huge basket of peaches (white Georgia and yellow blush). This is a sweet blend which manages to be fresh instead of sodden sweet. Peach saves it all from collapse and injects a small tartish note to lift it up. In Irish literature and myth, the banshees were the ghostly women who screamed during storms and when someone was supposed to die. Their wailing was blood curdling and they were mightily feared. Very autumnal and lovely",2022-04-24 13:48:45,1
108,Baobhan Sith,Black Phoenix Alchemy Lab,,"The ghostly White Women of the Scottish highlands. They seduce unwary travelers by night with their unearthly beauty and mesmerizing dancing. They engage their victims in a wild, hypnotic dance, and once they reach exhaustion, exsanguinate their partners with their vampiric kiss. Grapefruit, white tea, apple blossom and ginger.",2022-04-24 13:48:45,1
109,Bardot,Alpha Musk,,"Notes of roses, woods, magnolias but all blended so effortlessly and meld together beautifully in this sexy magnetizing musk",2022-04-24 13:48:45,1
110,Barefoot in the Garden,Wylde Ivy,,"A clean and gentle white wood fragrance sweetened slightly with a whisper of floral and the fresh nip of citrus. Notes of sun warmed blonde woods, lilac nectar, jasmine petals, bergamot, and lily of the valley.",2022-04-24 13:48:45,1
111,Barmbrack,Fyrinnae,,"Slightly sweet bread with a few bits of dried fruit and topped with fresh butter, traditionally baked with small divination objects inside and served at Samhain.",2022-04-24 13:48:45,1
112,Baron Samedi,Black Phoenix Alchemy Lab,,"In his honor, we have created this scent: our spin on traditional Bay Rum.",2022-04-24 13:48:45,1
113,Baroness,Laurel + June,,"Rich amber, spicy vanilla and a touch of heavenly musk",2022-04-24 13:48:45,1
114,Bastet,Black Phoenix Alchemy Lab,,"Luxuriant amber, warm Egyptian musk, fierce saffron and soft myrrh, almond, cardamom and golden lotus.",2022-04-24 13:48:45,1
115,Bastet's Amber,18,,"Bastet Amber is a perfume created from Amber Resin transformed over time in the Studio into a beautiful enhancing Royal Amber oil experience, Amber Resin imported from Alexandria and lit from the truest essential oil of Rare and Exotic Guiacwood and Crystal Benzoin and Crystal Frankincense.",2022-04-24 13:48:45,1
116,Bastet's Amber Dream Summer,18,,"Egyptian Blue Chamomile steamed distilled, Bastet's Musk, eNVie parfum saphir, Roman Chamomile extract, Bastet's Amber Absolute (Amber Resin imported from Alexandria, Guaiac wood, Crystal Benzoin and Crystal Frankincense)",2022-04-24 13:48:45,1
117,Bastet's Delicioux Pink,18,,"Coconut Milk, Pink Sugar accord, Cotton Candy, Plum skin, Pear, Crystal, a drop of Crimson Musk, French Vanilla Absolute, Pink Cinnamon, Bastet's Ice Cream Absolute and Crystalline Absolute.",2022-04-24 13:48:45,1
118,Bastet's Gift,18,,"Cream and Sugar, Soy Milk essence, tiny touch of Maple, White Cinnamon and Vanilla Bean Pod, infused into warm Coconut milk, Coconut cream and Shredded Coconut with a drop of NA Kyphi 2011",2022-04-24 13:48:45,1
119,Bastet's Ice Cream,NAVA,,"Vanilla Crystalline Cream, Butter accord, Caramel Accord, French Vanilla Bean Absolute, Vanilla Milk accord, Vanilla Orchid, Crystalline Absolute and Vanilla Sugar.",2022-04-24 13:48:45,1
120,Bastet's Ice Cream Teak & Sandalwood,18,,"Indonesian Teak Absolute, Santalum Absolute, Australian Sandalwood, Spices of Pink Pepper and Nutmeg, Ember Vanilla Cream, Butter accord, Caramel Accord, French Vanilla Bean Absolute, Vanilla Milk accord, Vanilla Orchid, Crystalline Absolute and Vanilla Sugar",2022-04-24 13:48:45,1
121,Bastet's Ice Cream: Bergamot Tea Crème,18,,"Italian Bergamot Peel essence and Absolute, Black Tea, Vanilla Crystalline Cream, Butter accord, Caramel Accord, French Vanilla Bean Absolute, Vanilla Milk accord, Vanilla Orchid, Crystalline Absolute and Vanilla Sugar.",2022-04-24 13:48:45,1
122,Bastet's Ice Cream: Heliotrope & Sandalwood Crème,18,,"Bastet's Ice Cream: Heliotrope & Sandalwood Crème- Japanese Heliotrope Absolute, Sandalwood, Sandalwood Shaving, Heliotrope infused Vanilla Fleck, Vanilla Crystalline Cream, Butter accord, Caramel Accord, French Vanilla Bean Absolute, Vanilla Milk accord, Vanilla Orchid, Crystalline Absolute and Vanilla Sugar.",2022-04-24 13:48:45,1
123,Bastet's Ice Cream: Pistachio & Almond Vanilla Crème,18,,"Pistachio, Almond, Vanilla Custard accord, Heliotrope, Vanilla Crystalline Cream, Butter accord, Caramel Accord, French Vanilla Bean Absolute, Vanilla Milk accord, Vanilla Orchid, Crystalline Absolute and Vanilla Sugar",2022-04-24 13:48:45,1
124,Bastet's Ice Cream: Wisteria Petal Crème,18,,"Japanese Wisteria, Melon, Peach cream, Apple skin essence, Jasmine, Ylang Ylang, Vanilla Crystalline Cream, Butter accord, Caramel Accord, French Vanilla Bean Absolute, Vanilla Milk accord, Vanilla Orchid, Crystalline Absolute and Vanilla Sugar.",2022-04-24 13:48:45,1
125,Bastet's Amber Lunar Summer,18,,"Pink Orchid extrait, White Patchouli steamed distilled, Starfruit, Bamboo leaves, Vanilla Fleck, Coconut Milk, Bastet's Amber Absolute (Amber Resin imported from Alexandria, Guaiac wood, Crystal Benzoin, Crystal Frankincense) and eNVie parfum saphir",2022-04-24 13:48:45,1
126,Bastet's Délicieux Blueberry Cake,18,,"Sweet Blueberries, Cheesecake Frosting, a drop of Acai from steaming, a little strawberry and Bastet's Ice Cream Absolute and Crystalline Absolute.",2022-04-24 13:48:45,1
127,Bastet's Délicieux Vanilla Wedding Cake,18,,"Vanilla White Cake accord, Sweet Almond Elixir, Sugar Cream, Bastet's Ice Cream Absolute and Crystalline Absolute.",2022-04-24 13:48:45,1
128,Bayou,Black Phoenix Alchemy Lab,,"A lazy, warm deep green scent with a thick aquatic undertone: Spanish moss, evergreen and cypress with watery blue-green notes and an eddy of hothouse flowers and swamp blooms.",2022-04-24 13:48:45,1
129,BBC,Possets,,"Sweet and strong, but full of character, like a majestic big black cat! Buttery creme with a smooth caramel undercoat, bourbon vanilla (the kind with the tiny black specks), gourmet candy corn crushed and put in the mix, and a crust of burnt sugar with a crunch from some indefinable but thoroughly delightful source. All this with a kiss of cinnamon, a very small puff of clove, and one grain of allspice.",2022-04-24 13:48:45,1
130,"Bears, Beetles, Battlestar Galactica",Sucrabeille,,"the musk of a real black bear that you fought with your own bare hands; fresh peach blossom (which is not as great as an Awesome Blossom, but does smell much better); honeycomb stolen straight from the mouths of the bumblebees (your apiarist owed you a favor); bubbles on a fresh glass of sparkling water, which ping about the glass like the laser guns wielded on the Battlestar Galactica. Glorious.",2022-04-24 13:48:45,1
131,Beatles Mania,Alpha Musk,,"London black tea, red currant champagne, red Egyptian musk, dry tea biscuits & wild figs, teenage cotton candy clouds, gold amber",2022-04-24 13:48:45,1
132,Beatrice,Possets,,"The Silver base combines with five of the most beautiful musks which Possets produces. Skin musk, 2 white musks, ""Crystalline"" musk,and a grey musk.",2022-04-24 13:48:45,1
133,Beckoning Cat,Fyrinnae,,"Steamed white jasmine rice, a few drops of sesame oil stirred in, topped with black sesame seeds.",2022-04-24 13:48:45,1
134,Bee's Knees,18,,"Orange Blossom Honey accord, Crystalline, Whole Vanilla Beans from Madagascar, Tahiti and Mexico.",2022-04-24 13:48:45,1
135,Bee's Knees,Moonalisa,,"Honey, honeysuckle and hyacinth.",2022-04-24 13:48:45,1
136,Beguiled,Haus of Gloi,,Lemon cake made with the tang of fresh buttermilk and raspberry coulis - an otherwise innocent cake corrupted by cardamom and deceptive pink peppercorns.,2022-04-24 13:48:45,1
137,Belladonna,Black Phoenix Alchemy Lab,,"According to lore, the spirit of this plant may take the form of a breathtaking, achingly beautiful woman, deadly to behold. This scent is a tribute to such a dark and magnificent plant: a rich green and floral blend, earthy and haunting.",2022-04-24 13:48:45,1
138,Belle Vinu,Black Phoenix Alchemy Lab,,"Red sandalwood, vanilla, rosewood, osmanthus, and white peach.",2022-04-24 13:48:45,1
139,Belsnickel,Hexennacht,,"Strong coffee, streusel coffee cake, nutmeg, brown sugar, toasted almonds.",2022-04-24 13:48:45,1
140,Bengal,Black Phoenix Alchemy Lab,,"A sultry and unruly blend that emulates the ambient scent of the markets in ancient Bengal: skin musk with honey, peppers, clove, cinnamon bark and ginger.",2022-04-24 13:48:45,1
141,Bergamot & Egyptian Mint Tea,18,,Bergamot and Organic Egyptian Mint essential oil and Egyptian Black Tea infused. Add a drop of Studio Limited ‘Crystalline' or ‘Crystal' to add a vanilla essence to your tea.,2022-04-24 13:48:45,1
